dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-200,PCA,200,poly,0.3307,0.3163,0.6693,0.6837,400.29,0.51,400.8,0.1,0.001,4.0
MNIST,PCA-200,PCA,200,poly,0.9843,0.9729,0.0157,0.0271,45.65,0.51,46.16,1.0,scale,2.0
MNIST,PCA-200,PCA,200,poly,0.9784,0.9642,0.0216,0.0358,79.37,0.51,79.88,1.0,scale,3.0
MNIST,PCA-200,PCA,200,poly,0.9347,0.9168,0.0653,0.0832,151.91,0.51,152.42,1.0,scale,4.0
MNIST,PCA-200,PCA,200,poly,0.9992,0.9762,0.0008,0.0238,24.3,0.51,24.81,1.0,0.01,2.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9775,0.0,0.0225,35.2,0.51,35.71,1.0,0.01,3.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9693,0.0,0.0307,51.98,0.51,52.49,1.0,0.01,4.0
MNIST,PCA-200,PCA,200,poly,0.9963,0.9773,0.0037,0.0227,26.6,0.51,27.11,1.0,0.005,2.0
MNIST,PCA-200,PCA,200,poly,0.9986,0.9782,0.0014,0.0218,36.97,0.51,37.48,1.0,0.005,3.0
MNIST,PCA-200,PCA,200,poly,0.9991,0.9701,0.0009,0.0299,53.48,0.51,53.99,1.0,0.005,4.0
MNIST,PCA-200,PCA,200,poly,0.9748,0.9668,0.0252,0.0332,66.39,0.51,66.9,1.0,0.001,2.0
MNIST,PCA-200,PCA,200,poly,0.9467,0.9389,0.0533,0.0611,145.25,0.51,145.76,1.0,0.001,3.0
MNIST,PCA-200,PCA,200,poly,0.7874,0.7751,0.2126,0.2249,276.78,0.51,277.29,1.0,0.001,4.0
MNIST,PCA-200,PCA,200,poly,0.9938,0.978,0.0062,0.022,29.61,0.51,30.12,5.0,scale,2.0
MNIST,PCA-200,PCA,200,poly,0.9929,0.9754,0.0071,0.0246,47.0,0.51,47.51,5.0,scale,3.0
MNIST,PCA-200,PCA,200,poly,0.9819,0.9565,0.0181,0.0435,85.83,0.51,86.34,5.0,scale,4.0
MNIST,PCA-200,PCA,200,poly,0.9999,0.975,0.0001,0.025,23.77,0.51,24.28,5.0,0.01,2.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9775,0.0,0.0225,35.29,0.51,35.8,5.0,0.01,3.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9693,0.0,0.0307,51.89,0.51,52.4,5.0,0.01,4.0
MNIST,PCA-200,PCA,200,poly,0.9993,0.9763,0.0007,0.0237,23.96,0.51,24.47,5.0,0.005,2.0
MNIST,PCA-200,PCA,200,poly,0.9999,0.9773,0.0001,0.0227,35.26,0.51,35.77,5.0,0.005,3.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9692,0.0,0.0308,52.25,0.51,52.76,5.0,0.005,4.0
MNIST,PCA-200,PCA,200,poly,0.9888,0.976,0.0112,0.024,36.71,0.51,37.22,5.0,0.001,2.0
MNIST,PCA-200,PCA,200,poly,0.9806,0.966,0.0194,0.034,73.82,0.51,74.33,5.0,0.001,3.0
MNIST,PCA-200,PCA,200,poly,0.92,0.9043,0.08,0.0957,168.39,0.51,168.9,5.0,0.001,4.0
MNIST,PCA-200,PCA,200,poly,0.9964,0.9776,0.0036,0.0224,26.76,0.51,27.26,10.0,scale,2.0
MNIST,PCA-200,PCA,200,poly,0.9959,0.9776,0.0041,0.0224,41.04,0.51,41.55,10.0,scale,3.0
MNIST,PCA-200,PCA,200,poly,0.99,0.9621,0.01,0.0379,70.7,0.51,71.21,10.0,scale,4.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9749,0.0,0.0251,23.66,0.51,24.17,10.0,0.01,2.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9775,0.0,0.0225,35.19,0.51,35.69,10.0,0.01,3.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9693,0.0,0.0307,51.94,0.51,52.45,10.0,0.01,4.0
MNIST,PCA-200,PCA,200,poly,0.9998,0.9756,0.0002,0.0244,23.61,0.51,24.12,10.0,0.005,2.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9776,0.0,0.0224,35.09,0.51,35.6,10.0,0.005,3.0
MNIST,PCA-200,PCA,200,poly,1.0,0.9692,0.0,0.0308,52.55,0.51,53.06,10.0,0.005,4.0
MNIST,PCA-200,PCA,200,poly,0.9927,0.9776,0.0073,0.0224,30.84,0.51,31.35,10.0,0.001,2.0
MNIST,PCA-200,PCA,200,poly,0.988,0.9707,0.012,0.0293,57.42,0.51,57.93,10.0,0.001,3.0
MNIST,PCA-200,PCA,200,poly,0.9514,0.9306,0.0486,0.0694,130.68,0.51,131.19,10.0,0.001,4.0
MNIST,LDA-9,LDA,9,poly,0.8773,0.8697,0.1227,0.1303,14.55,3.83,18.39,0.1,scale,2.0
MNIST,LDA-9,LDA,9,poly,0.8941,0.8902,0.1059,0.1098,15.37,3.83,19.2,0.1,scale,3.0
MNIST,LDA-9,LDA,9,poly,0.839,0.8372,0.161,0.1628,23.16,3.83,26.99,0.1,scale,4.0
MNIST,LDA-9,LDA,9,poly,0.8419,0.8398,0.1581,0.1602,32.05,3.83,35.88,0.1,0.01,2.0
MNIST,LDA-9,LDA,9,poly,0.7379,0.742,0.2621,0.258,54.31,3.83,58.14,0.1,0.01,3.0
MNIST,LDA-9,LDA,9,poly,0.5186,0.5254,0.4814,0.4746,76.84,3.83,80.67,0.1,0.01,4.0
MNIST,LDA-9,LDA,9,poly,0.8008,0.8024,0.1992,0.1976,50.86,3.83,54.69,0.1,0.005,2.0
MNIST,LDA-9,LDA,9,poly,0.5261,0.5321,0.4739,0.4679,84.82,3.83,88.65,0.1,0.005,3.0
MNIST,LDA-9,LDA,9,poly,0.1433,0.1473,0.8567,0.8527,94.99,3.83,98.82,0.1,0.005,4.0
MNIST,LDA-9,LDA,9,poly,0.153,0.1562,0.847,0.8438,94.66,3.83,98.49,0.1,0.001,2.0
MNIST,LDA-9,LDA,9,poly,0.1124,0.1135,0.8876,0.8865,94.06,3.83,97.9,0.1,0.001,3.0
MNIST,LDA-9,LDA,9,poly,0.1124,0.1135,0.8876,0.8865,95.85,3.83,99.68,0.1,0.001,4.0
MNIST,LDA-9,LDA,9,poly,0.8891,0.8799,0.1109,0.1201,9.93,3.83,13.76,1.0,scale,2.0
MNIST,LDA-9,LDA,9,poly,0.9175,0.9096,0.0825,0.0904,8.97,3.83,12.8,1.0,scale,3.0
MNIST,LDA-9,LDA,9,poly,0.8842,0.8742,0.1158,0.1258,14.24,3.83,18.07,1.0,scale,4.0
MNIST,LDA-9,LDA,9,poly,0.873,0.8661,0.127,0.1339,16.14,3.83,19.98,1.0,0.01,2.0
MNIST,LDA-9,LDA,9,poly,0.856,0.8602,0.144,0.1398,27.52,3.83,31.35,1.0,0.01,3.0
MNIST,LDA-9,LDA,9,poly,0.6924,0.6993,0.3076,0.3007,50.72,3.83,54.55,1.0,0.01,4.0
MNIST,LDA-9,LDA,9,poly,0.8581,0.8547,0.1419,0.1453,24.4,3.83,28.23,1.0,0.005,2.0
MNIST,LDA-9,LDA,9,poly,0.7533,0.7552,0.2467,0.2448,50.99,3.83,54.82,1.0,0.005,3.0
MNIST,LDA-9,LDA,9,poly,0.476,0.482,0.524,0.518,82.58,3.83,86.41,1.0,0.005,4.0
MNIST,LDA-9,LDA,9,poly,0.7519,0.7513,0.2481,0.2487,67.55,3.83,71.38,1.0,0.001,2.0
MNIST,LDA-9,LDA,9,poly,0.1126,0.114,0.8874,0.886,94.55,3.83,98.38,1.0,0.001,3.0
MNIST,LDA-9,LDA,9,poly,0.1124,0.1135,0.8876,0.8865,95.93,3.83,99.76,1.0,0.001,4.0
MNIST,LDA-9,LDA,9,poly,0.8919,0.882,0.1081,0.118,9.46,3.83,13.29,5.0,scale,2.0
MNIST,LDA-9,LDA,9,poly,0.926,0.9154,0.074,0.0846,7.7,3.83,11.53,5.0,scale,3.0
MNIST,LDA-9,LDA,9,poly,0.9068,0.8879,0.0932,0.1121,11.3,3.83,15.13,5.0,scale,4.0
MNIST,LDA-9,LDA,9,poly,0.8845,0.8762,0.1155,0.1238,11.6,3.83,15.43,5.0,0.01,2.0
MNIST,LDA-9,LDA,9,poly,0.8906,0.8881,0.1094,0.1119,16.58,3.83,20.41,5.0,0.01,3.0
MNIST,LDA-9,LDA,9,poly,0.7839,0.7843,0.2161,0.2157,34.29,3.83,38.12,5.0,0.01,4.0
MNIST,LDA-9,LDA,9,poly,0.8752,0.869,0.1248,0.131,15.38,3.83,19.22,5.0,0.005,2.0
MNIST,LDA-9,LDA,9,poly,0.8401,0.8443,0.1599,0.1557,31.66,3.83,35.49,5.0,0.005,3.0
MNIST,LDA-9,LDA,9,poly,0.6238,0.6291,0.3762,0.3709,63.01,3.83,66.84,5.0,0.005,4.0
MNIST,LDA-9,LDA,9,poly,0.8247,0.8244,0.1753,0.1756,40.47,3.83,44.3,5.0,0.001,2.0
MNIST,LDA-9,LDA,9,poly,0.2316,0.2307,0.7684,0.7693,92.62,3.83,96.45,5.0,0.001,3.0
MNIST,LDA-9,LDA,9,poly,0.1124,0.1135,0.8876,0.8865,95.82,3.83,99.65,5.0,0.001,4.0
MNIST,LDA-9,LDA,9,poly,0.8928,0.8829,0.1072,0.1171,10.03,3.83,13.87,10.0,scale,2.0
MNIST,LDA-9,LDA,9,poly,0.9284,0.9159,0.0716,0.0841,7.7,3.83,11.53,10.0,scale,3.0
MNIST,LDA-9,LDA,9,poly,0.9142,0.8909,0.0858,0.1091,10.77,3.83,14.6,10.0,scale,4.0
MNIST,LDA-9,LDA,9,poly,0.8877,0.8781,0.1123,0.1219,10.43,3.83,14.26,10.0,0.01,2.0
MNIST,LDA-9,LDA,9,poly,0.9005,0.8957,0.0995,0.1043,13.45,3.83,17.29,10.0,0.01,3.0
MNIST,LDA-9,LDA,9,poly,0.8115,0.8131,0.1885,0.1869,29.66,3.83,33.49,10.0,0.01,4.0
MNIST,LDA-9,LDA,9,poly,0.8809,0.8731,0.1191,0.1269,13.21,3.83,17.04,10.0,0.005,2.0
MNIST,LDA-9,LDA,9,poly,0.8616,0.8637,0.1384,0.1363,25.88,3.83,29.71,10.0,0.005,3.0
MNIST,LDA-9,LDA,9,poly,0.6631,0.6704,0.3369,0.3296,55.39,3.83,59.22,10.0,0.005,4.0
MNIST,LDA-9,LDA,9,poly,0.8419,0.8398,0.1581,0.1602,32.02,3.83,35.85,10.0,0.001,2.0
MNIST,LDA-9,LDA,9,poly,0.4532,0.4599,0.5468,0.5401,86.92,3.83,90.75,10.0,0.001,3.0
MNIST,LDA-9,LDA,9,poly,0.1124,0.1135,0.8876,0.8865,95.48,3.83,99.31,10.0,0.001,4.0
Fashion-MNIST,PCA-50,PCA,50,linear,0.8491,0.8323,0.1509,0.1677,13.61,0.5,14.11,0.01,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.851,0.8354,0.149,0.1646,17.52,0.5,18.02,0.05,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.8516,0.8359,0.1484,0.1641,21.44,0.5,21.94,0.1,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.8523,0.8361,0.1477,0.1639,45.94,0.5,46.44,0.5,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.8525,0.8364,0.1475,0.1636,70.99,0.5,71.49,1.0,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.8522,0.8362,0.1478,0.1638,246.13,0.5,246.62,5.0,,
Fashion-MNIST,PCA-50,PCA,50,linear,0.8522,0.8363,0.1478,0.1637,442.24,0.5,442.74,10.0,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8649,0.8484,0.1351,0.1516,17.94,0.5,18.44,0.01,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8678,0.8468,0.1322,0.1532,23.73,0.5,24.23,0.05,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8681,0.848,0.1319,0.152,29.11,0.5,29.61,0.1,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8688,0.8477,0.1312,0.1523,67.45,0.5,67.95,0.5,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.869,0.8477,0.131,0.1523,104.89,0.5,105.39,1.0,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8693,0.8479,0.1307,0.1521,378.07,0.5,378.57,5.0,,
Fashion-MNIST,PCA-100,PCA,100,linear,0.8695,0.848,0.1305,0.152,657.44,0.5,657.94,10.0,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8752,0.8541,0.1248,0.1459,38.45,0.56,39.0,0.01,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8783,0.852,0.1217,0.148,46.99,0.56,47.55,0.05,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8794,0.8515,0.1206,0.1485,56.69,0.56,57.24,0.1,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.881,0.8509,0.119,0.1491,111.33,0.56,111.89,0.5,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8816,0.8507,0.1184,0.1493,170.22,0.56,170.78,1.0,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8823,0.8493,0.1177,0.1507,579.63,0.56,580.18,5.0,,
Fashion-MNIST,PCA-200,PCA,200,linear,0.8829,0.8498,0.1171,0.1502,1094.57,0.56,1095.13,10.0,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8431,0.8255,0.1569,0.1745,7.99,4.53,12.51,0.01,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8437,0.8255,0.1563,0.1745,8.3,4.53,12.82,0.05,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8435,0.8252,0.1565,0.1748,8.33,4.53,12.85,0.1,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8438,0.8254,0.1562,0.1746,10.61,4.53,15.14,0.5,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8438,0.8253,0.1562,0.1747,12.46,4.53,16.99,1.0,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8438,0.8254,0.1562,0.1746,20.93,4.53,25.46,5.0,,
Fashion-MNIST,LDA-9,LDA,9,linear,0.8438,0.8253,0.1562,0.1747,28.93,4.53,33.46,10.0,,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.8487,0.8366,0.1513,0.1634,20.83,0.5,21.32,0.1,scale,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.8331,0.8106,0.1669,0.1894,48.15,0.5,48.65,0.1,0.01,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.8576,0.8413,0.1424,0.1587,28.45,0.5,28.95,0.1,0.005,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.839,0.8276,0.161,0.1724,21.4,0.5,21.9,0.1,0.001,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.8905,0.8669,0.1095,0.1331,14.18,0.5,14.68,1.0,scale,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9443,0.8676,0.0557,0.1324,38.07,0.5,38.57,1.0,0.01,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9204,0.8756,0.0796,0.1244,21.52,0.5,22.02,1.0,0.005,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.8798,0.8621,0.1202,0.1379,13.95,0.5,14.45,1.0,0.001,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9165,0.8822,0.0835,0.1178,13.12,0.5,13.62,5.0,scale,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9843,0.8706,0.0157,0.1294,39.82,0.5,40.32,5.0,0.01,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9584,0.8823,0.0416,0.1177,21.26,0.5,21.76,5.0,0.005,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.903,0.8747,0.097,0.1253,12.14,0.5,12.64,5.0,0.001,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9276,0.8843,0.0724,0.1157,13.07,0.5,13.57,10.0,scale,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9927,0.8684,0.0073,0.1316,40.5,0.5,41.0,10.0,0.01,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9719,0.8823,0.0281,0.1177,24.56,0.5,25.06,10.0,0.005,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9131,0.8804,0.0869,0.1196,12.75,0.5,13.25,10.0,0.001,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9545,0.8863,0.0455,0.1137,15.63,0.5,16.13,50.0,scale,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9996,0.8639,0.0004,0.1361,44.17,0.5,44.67,50.0,0.01,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9932,0.8767,0.0068,0.1233,24.8,0.5,25.3,50.0,0.005,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9367,0.8847,0.0633,0.1153,15.07,0.5,15.57,50.0,0.001,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.8565,0.8421,0.1435,0.1579,30.71,0.5,31.21,0.1,scale,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.8014,0.7753,0.1986,0.2247,91.63,0.5,92.13,0.1,0.01,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.8556,0.8345,0.1444,0.1655,51.71,0.5,52.21,0.1,0.005,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.8502,0.8374,0.1498,0.1626,33.07,0.5,33.57,0.1,0.001,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9041,0.8774,0.0959,0.1226,24.42,0.5,24.92,1.0,scale,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9653,0.858,0.0347,0.142,84.87,0.5,85.37,1.0,0.01,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9405,0.8803,0.0595,0.1197,35.33,0.5,35.83,1.0,0.005,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.8947,0.8732,0.1053,0.1268,18.53,0.5,19.03,1.0,0.001,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9332,0.8897,0.0668,0.1103,17.81,0.5,18.31,5.0,scale,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.996,0.8624,0.004,0.1376,95.86,0.5,96.36,5.0,0.01,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9803,0.8886,0.0197,0.1114,35.96,0.5,36.46,5.0,0.005,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.921,0.8863,0.079,0.1137,16.81,0.5,17.31,5.0,0.001,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9469,0.8922,0.0531,0.1078,18.21,0.5,18.72,10.0,scale,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9992,0.8613,0.0008,0.1387,94.26,0.5,94.76,10.0,0.01,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9901,0.8861,0.0099,0.1139,36.23,0.5,36.73,10.0,0.005,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9333,0.8912,0.0667,0.1088,16.81,0.5,17.31,10.0,0.001,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9761,0.8937,0.0239,0.1063,20.21,0.5,20.71,50.0,scale,
Fashion-MNIST,PCA-100,PCA,100,rbf,1.0,0.8601,0.0,0.1399,94.87,0.5,95.37,50.0,0.01,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9995,0.8822,0.0005,0.1178,37.38,0.5,37.89,50.0,0.005,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9614,0.8952,0.0386,0.1048,18.48,0.5,18.98,50.0,0.001,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.862,0.8479,0.138,0.1521,72.8,0.56,73.36,0.1,scale,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.7611,0.7332,0.2389,0.2668,246.53,0.56,247.09,0.1,0.01,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.8468,0.822,0.1532,0.178,127.29,0.56,127.84,0.1,0.005,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.8567,0.8442,0.1433,0.1558,71.77,0.56,72.33,0.1,0.001,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9141,0.8847,0.0859,0.1153,47.75,0.56,48.3,1.0,scale,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9798,0.8411,0.0202,0.1589,250.19,0.56,250.74,1.0,0.01,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9562,0.8812,0.0438,0.1188,93.06,0.56,93.62,1.0,0.005,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9055,0.8804,0.0945,0.1196,44.01,0.56,44.57,1.0,0.001,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9483,0.8966,0.0517,0.1034,41.36,0.56,41.92,5.0,scale,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9995,0.8491,0.0005,0.1509,272.6,0.56,273.16,5.0,0.01,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9928,0.8879,0.0072,0.1121,95.45,0.56,96.01,5.0,0.005,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.937,0.8955,0.063,0.1045,49.93,0.56,50.49,5.0,0.001,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9636,0.8993,0.0364,0.1007,47.62,0.56,48.18,10.0,scale,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9999,0.849,0.0001,0.151,274.88,0.56,275.43,10.0,0.01,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9982,0.887,0.0018,0.113,102.0,0.56,102.55,10.0,0.005,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9509,0.8964,0.0491,0.1036,39.31,0.56,39.86,10.0,0.001,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9909,0.8984,0.0091,0.1016,44.76,0.56,45.31,50.0,scale,
Fashion-MNIST,PCA-200,PCA,200,rbf,1.0,0.8491,0.0,0.1509,280.3,0.56,280.86,50.0,0.01,
Fashion-MNIST,PCA-200,PCA,200,rbf,1.0,0.8848,0.0,0.1152,110.04,0.56,110.59,50.0,0.005,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9818,0.8984,0.0182,0.1016,36.84,0.56,37.39,50.0,0.001,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8472,0.8292,0.1528,0.1708,9.7,4.53,14.23,0.1,scale,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.844,0.8248,0.156,0.1752,10.64,4.53,15.17,0.1,0.01,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8426,0.8238,0.1574,0.1762,12.09,4.53,16.62,0.1,0.005,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8392,0.8207,0.1608,0.1793,18.88,4.53,23.4,0.1,0.001,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8519,0.8341,0.1481,0.1659,8.3,4.53,12.83,1.0,scale,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8486,0.829,0.1514,0.171,8.51,4.53,13.04,1.0,0.01,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8462,0.8285,0.1538,0.1715,8.94,4.53,13.47,1.0,0.005,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8423,0.8242,0.1577,0.1758,10.53,4.53,15.06,1.0,0.001,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8575,0.8353,0.1425,0.1647,8.75,4.53,13.27,5.0,scale,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.851,0.8329,0.149,0.1671,8.4,4.53,12.92,5.0,0.01,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8491,0.8301,0.1509,0.1699,8.5,4.53,13.02,5.0,0.005,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8442,0.8266,0.1558,0.1734,9.09,4.53,13.61,5.0,0.001,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8597,0.8346,0.1403,0.1654,9.31,4.53,13.83,10.0,scale,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8527,0.8335,0.1473,0.1665,8.68,4.53,13.21,10.0,0.01,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8498,0.8327,0.1502,0.1673,8.5,4.53,13.02,10.0,0.005,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8455,0.8279,0.1545,0.1721,8.86,4.53,13.39,10.0,0.001,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8666,0.8363,0.1334,0.1637,13.12,4.53,17.64,50.0,scale,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.857,0.8354,0.143,0.1646,10.75,4.53,15.28,50.0,0.01,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8526,0.8341,0.1474,0.1659,9.75,4.53,14.28,50.0,0.005,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8475,0.8279,0.1525,0.1721,8.87,4.53,13.4,50.0,0.001,
Fashion-MNIST,PCA-50,PCA,50,poly,0.8377,0.829,0.1623,0.171,22.57,0.5,23.07,0.1,scale,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8294,0.8152,0.1706,0.1848,24.32,0.5,24.82,0.1,scale,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.792,0.7737,0.208,0.2263,34.54,0.5,35.04,0.1,scale,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.897,0.87,0.103,0.13,11.99,0.5,12.49,0.1,0.01,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9372,0.8806,0.0628,0.1194,13.33,0.5,13.83,0.1,0.01,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9727,0.8772,0.0273,0.1228,18.37,0.5,18.86,0.1,0.01,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8805,0.8604,0.1195,0.1396,13.53,0.5,14.03,0.1,0.005,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9052,0.872,0.0948,0.128,12.79,0.5,13.29,0.1,0.005,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9255,0.8726,0.0745,0.1274,14.56,0.5,15.06,0.1,0.005,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8123,0.8005,0.1877,0.1995,30.6,0.5,31.1,0.1,0.001,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.7714,0.7607,0.2286,0.2393,38.74,0.5,39.24,0.1,0.001,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.6837,0.6753,0.3163,0.3247,60.04,0.5,60.54,0.1,0.001,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8808,0.8606,0.1192,0.1394,13.59,0.5,14.09,1.0,scale,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8863,0.8604,0.1137,0.1396,14.34,0.5,14.84,1.0,scale,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8774,0.8428,0.1226,0.1572,19.11,0.5,19.61,1.0,scale,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9184,0.8773,0.0816,0.1227,14.19,0.5,14.69,1.0,0.01,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9692,0.8797,0.0308,0.1203,23.63,0.5,24.13,1.0,0.01,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9957,0.8637,0.0043,0.1363,28.66,0.5,29.16,1.0,0.01,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9055,0.8742,0.0945,0.1258,11.95,0.5,12.45,1.0,0.005,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9407,0.8811,0.0593,0.1189,13.66,0.5,14.16,1.0,0.005,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9657,0.8769,0.0343,0.1231,17.13,0.5,17.63,1.0,0.005,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8663,0.8515,0.1337,0.1485,16.94,0.5,17.44,1.0,0.001,2.0
